ax_mean,ax_std,ax_min,ax_max,ax_median,ax_iqr,ax_rms,ax_range,ax_skew,ax_kurt,ay_mean,ay_std,ay_min,ay_max,ay_median,ay_iqr,ay_rms,ay_range,ay_skew,ay_kurt,az_mean,az_std,az_min,az_max,az_median,az_iqr,az_rms,az_range,az_skew,az_kurt,amag_mean,amag_std,amag_min,amag_max,amag_median,amag_iqr,amag_rms,amag_range,amag_skew,amag_kurt,amag_halfdiff,jerk_mean,jerk_std,jerk_rms,dyn_mean,dyn_std,dyn_rms,dyn_max,dyn_range,dyn_halfdiff,dyn_skew,dyn_kurt,amag_peakcount,dyn_peakcount,pow_0.0_0.5,pow_0.5_3.0,pow_3.0_10.0,dyn_pow_0.0_0.3,dyn_pow_0.3_1.0,dyn_pow_1.0_3.0,dyn_pow_3.0_8.0,dyn_pow_8.0_15.0,avert_mean,avert_std,avert_rms,avert_peakcount,ahoriz_mean,ahoriz_std,ahoriz_rms,ahoriz_peakcount,avert_to_ahoriz_ratio,p_mean,p_std,p_min,p_max,p_median,p_iqr,p_range,p_skew,p_kurt,dpdt_mean,dpdt_std,p_slope,h_mean,h_std,h_min,h_max,h_range,h_slope,dhdt_mean,dhdt_std,dhdt_maxabs,plateau_frac,dhdt_zcr_ps,runlen_climb_s,runlen_descent_s,amag_thirddiff,amag_ma10_mean,amag_ma10_std,amag_ma10_range,amag_ma10_thirddiff,amag_var10_mean,amag_var10_iqr,p_ma30_mean,p_ma30_std,p_ma30_slope,p_ma30_dt1_mean,p_ma30_dt1_std,p_ma30_dt1_posfrac,amag_ratio_0.5_3__0_0.5,dyn_ratio_1_3__0.3_1,dyn_thirddiff,h_thirddiff,ax_r_mean,ax_r_std,ax_r_iqr,ax_r_rms,ax_r_range,ay_r_mean,ay_r_std,ay_r_iqr,ay_r_rms,ay_r_range,az_r_mean,az_r_std,az_r_iqr,az_r_rms,az_r_range,amag_r_mean,amag_r_std,amag_r_iqr,amag_r_rms,amag_r_range,p_r_mean,p_r_std,p_r_iqr,expected,y_true
-2.16716075,0.46277818,-4.17139387,-1.11939800,-2.05447459,0.42407504,2.21602106,3.05199575,-1.37958539,3.00116134,2.96513462,0.17227170,2.49571419,3.55427217,2.95714355,0.20469794,2.97013497,1.05855811,0.41299456,1.01381314,9.14272881,0.27134097,7.68304300,10.15022087,9.16078568,0.27861208,9.14675522,2.46717715,-0.96764016,4.35183907,9.86606884,0.23719527,8.63839245,11.00374126,9.86159611,0.23818342,9.86891937,2.36534858,0.18008049,3.73869252,-0.01394611,6.52340698,10.01081657,10.01083183,-0.00076935,0.23486876,0.23487003,1.11751425,2.31736279,-0.01615252,0.20684206,3.69432187,32.00000000,32.00000000,0.00139454,0.14182916,0.66890424,0.00024853,0.01720626,0.12407956,0.60036892,0.23563693,-0.00114983,0.22871666,0.22871955,32.00000000,0.18204376,0.21243425,0.27976462,39.00000000,0.81754279,997.93035889,0.01356088,997.89746094,997.96789551,997.93347168,0.01256250,0.07045333,0.08112664,1.23531914,0.00208667,0.03903311,0.00150439,0.10245663,0.11463349,-0.21482097,0.38073763,0.59555858,-0.01271700,-0.01742975,0.10091358,0.31313023,0.95999998,0.20000000,0.40000001,0.60000002,-0.00367280,9.86733341,0.00156138,0.01038159,0.00210502,0.05317114,0.01819099,997.92431641,0.00077782,-0.00013835,0.00007254,0.00095343,0.50000000,101.70333099,7.21130180,-0.00979588,-0.09302878,-0.64411551,0.15484111,0.14189142,0.66246551,1.02116835,0.34564686,0.02893635,0.03438296,0.34685597,0.17780522,0.18399678,0.01550028,0.01591564,0.18464851,0.14093679,0.75817364,0.13578452,0.12783693,0.77023679,0.90630007,7.54595900,0.00062771,0.00058150,0.00000435,0
-1.83756065,0.70284933,-4.37767124,0.50543928,-1.93881714,0.29219425,1.96739078,4.88311052,0.98286736,2.33619952,3.30141783,0.33379558,2.49571419,4.23367739,3.49040103,0.56131035,3.31824946,1.73796332,-0.36806744,-1.19069755,9.08115196,0.24742001,7.68304300,10.28596878,9.06826210,0.24291848,9.08452225,2.60292578,-0.24475822,4.80300188,9.86745644,0.20795430,8.63839245,11.00374126,9.86450005,0.18183292,9.86964798,2.36534858,0.29635993,4.95848560,-0.00225515,5.69021034,8.77597237,8.77597237,0.00560001,0.20680785,0.20688365,1.12050700,2.31542134,-0.01621697,0.26644188,4.72934580,69.00000000,72.00000000,0.00081296,0.05835676,0.87183821,0.00128188,0.00493584,0.05340485,0.80053550,0.12453977,0.00000085,0.20052685,0.20052685,74.00000000,0.16377610,0.24072753,0.29115692,58.00000000,0.68872428,997.92687988,0.02060608,997.86334229,997.97229004,997.92932129,0.01455000,0.10895833,-0.76171732,1.74911964,-0.00121658,0.04296270,-0.00074354,0.13213558,0.17418995,-0.25183091,0.66923064,0.92106152,0.00628555,0.01129412,0.13575779,0.53849268,0.94000000,0.15000001,1.20000005,0.60000002,-0.00134998,9.86685371,0.00299647,0.01755245,-0.00247968,0.03854607,0.03026077,997.92669678,0.00254310,0.00038963,0.00035193,0.00082599,0.73000002,71.78269196,10.81980419,-0.02185209,0.05857783,-0.53383446,0.23516661,0.09776538,0.58333743,1.63384175,0.40213209,0.05606740,0.09428288,0.40602189,0.29192442,0.18047920,0.01413380,0.01387665,0.18103178,0.14869140,0.72175336,0.13031085,0.08013396,0.73342270,1.07287228,7.54579687,0.00095383,0.00067350,0.00000038,0
-1.16416025,2.46237016,-3.03507447,3.47313762,-2.64175415,4.10203743,2.72369885,6.50821209,1.12007272,-0.66260290,5.54290247,0.30750924,4.89048386,7.30887651,5.42040157,0.21801625,5.55142593,2.41839266,3.12155604,11.78022861,-7.58548689,0.70808941,-11.94489765,-2.34545875,-7.72365999,0.34126526,7.61846447,9.59943867,2.61621261,25.24221992,9.80273056,0.42934072,7.20310020,12.95333290,9.80347729,0.08394795,9.81212902,5.75023270,0.20107310,21.36757851,0.01265722,4.34379816,9.43715954,9.43715954,-0.00430245,0.42397714,0.42399895,3.18869805,5.68482113,0.00401581,0.58693683,21.21753502,29.00000000,30.00000000,0.01156250,0.68599063,0.27051559,0.00343337,0.02446360,0.66908014,0.25024173,0.04746757,0.00321963,0.43594152,0.43595341,30.00000000,0.27988791,0.63469839,0.69367087,29.00000000,0.62847298,997.94573975,0.00312589,997.94000244,997.94995117,997.94622803,0.00593958,0.00995000,-0.50668389,-0.93257368,0.00074500,0.00389424,0.00093712,-0.02744737,0.02642366,-0.06297591,0.02113294,0.08410885,-0.00792164,-0.00440498,0.01228438,0.02357950,1.00000000,0.00000000,0.00000000,0.00000000,0.02066939,9.80230808,0.01420494,0.09268910,0.02043188,0.24200061,0.03123046,997.94195557,0.00347651,0.00082967,0.00090207,0.00255021,0.66000003,59.32890701,27.35002518,-0.00346250,-0.05301659,-0.30852115,0.82388532,1.37250209,0.87975699,2.17758489,0.77863264,0.05165210,0.03662003,0.78034395,0.40621564,-0.77159774,0.04044941,0.01949468,0.77265728,0.54836518,1.40312779,0.10554969,0.03065519,1.40709209,0.57927936,7.54667044,0.00014469,0.00027493,0.00003566,0
-0.48849091,1.17559397,-4.47640848,4.15801716,-0.37598634,0.69218278,1.27304530,8.63442516,0.39847648,3.83720517,3.89822054,0.74253768,2.08131194,5.12303305,4.09149218,1.04100323,3.96831036,3.04172111,-0.77451479,-0.56765312,8.94392586,0.53032875,7.06321573,11.35673428,8.88333797,0.53285927,8.95963573,4.29351807,0.65667343,2.81847525,9.87231827,0.42488387,7.90761232,11.97419548,9.86477947,0.31958064,9.88145733,4.06658316,0.00090533,4.81374216,-0.00053229,10.32267761,16.47813606,16.47817421,-0.03597819,0.42553353,0.42705178,1.78525281,4.06185293,0.08642125,-0.66623008,4.88465929,35.00000000,41.00000000,0.01305474,0.24928688,0.54225767,0.02492936,0.02745646,0.22012474,0.43224502,0.22648306,0.02229188,0.40473071,0.40534413,43.00000000,0.56232285,0.67068541,0.87522906,44.00000000,0.46312919,998.01788330,0.10703078,997.83996582,998.40496826,998.00122070,0.02860125,0.56501502,2.53047395,6.75662041,0.02250500,0.36518022,-0.01162869,-0.63725483,0.90459442,-3.90873003,0.86673933,4.77546930,0.09827411,-0.00837282,0.78999722,2.83782244,0.77999997,0.20000000,1.39999998,0.80000001,-0.00438777,9.86599636,0.00973879,0.06725766,0.00071441,0.23577459,0.26525208,997.99444580,0.00207805,-0.00068162,-0.00040420,0.00091694,0.18000001,19.09550285,8.01723003,0.12305119,0.48601788,-0.08244873,0.39334241,0.23159769,0.40189058,2.88899541,0.50237662,0.12472351,0.17485656,0.51762748,0.51091564,0.17264020,0.03029488,0.03043943,0.17527813,0.24526601,0.64898753,0.19746351,0.10554393,0.67836326,1.31263459,7.55001020,0.00495430,0.00132391,0.00001353,0
-2.90814161,2.38459539,-6.29617214,1.12110794,-3.33330107,4.71603775,3.76079559,7.41728020,0.29000130,-1.62003660,5.84369516,2.45689940,1.92040443,9.64624310,5.22886801,4.95878506,6.33917427,7.72583818,-0.13834579,-1.76380658,5.41447210,3.78378367,-4.55745888,11.90774155,6.59291267,7.14548063,6.60556793,16.46520042,-0.06806510,-1.75456154,9.88738823,0.44921798,5.33956480,12.69507980,9.88938427,0.17834662,9.89758778,7.35551453,-1.40485096,29.02813530,-0.04078860,6.24225187,10.82654190,10.82654476,-0.00905745,0.44406283,0.44415519,2.53321362,7.26761627,-0.04956686,-2.03361797,31.87249756,46.00000000,48.00000000,0.01132785,0.72490823,0.24544765,0.00378110,0.05221949,0.67762285,0.23584603,0.02610325,0.00400513,0.49452996,0.49454618,47.00000000,0.42519876,0.92076492,1.01420021,34.00000000,0.48762184,997.98175049,0.02321403,997.94744873,998.06121826,997.97357178,0.03395083,0.11375000,0.99293923,0.77178675,-0.00170958,0.03581655,-0.00243464,-0.33158559,0.19622399,-1.00334275,-0.04184310,0.96149957,0.02057976,0.00815391,0.12523663,0.48928466,0.97000003,0.00000000,1.00000000,1.00000000,0.02140655,9.88720703,0.01522602,0.06304064,0.02643499,0.20591667,0.26041436,997.98394775,0.00768476,-0.00127033,-0.00109418,0.00261054,0.07000000,63.99343872,12.97643566,0.02861541,0.30276933,-0.89204055,0.79786259,1.57794082,1.19679618,2.48175049,0.82915658,0.41268361,0.83292347,0.92617947,1.29770339,-0.02897883,0.21614756,0.40818352,0.21808150,0.94056982,1.34697366,0.72342992,1.44536090,1.52895033,2.05606079,7.54833603,0.00107454,0.00157154,0.00000264,0
-1.60906160,2.07023668,-6.29617214,1.12110794,-1.44152999,2.91171098,2.62201452,7.41728020,-0.57710910,-0.87670207,4.21129131,2.15166211,1.92040443,9.64624310,3.23214960,1.38104761,4.72912502,7.72583818,1.28746843,0.12717909,7.49286413,3.56901908,-4.55745888,11.90774155,9.13980770,0.95994401,8.29945278,16.46520042,-1.55119216,0.76755786,9.88650036,0.61450124,5.33956480,12.69507980,9.87959480,0.35584587,9.90557861,7.35551453,-1.12047660,15.22670364,-0.00524159,9.02038956,14.18465328,14.18472004,-0.02327716,0.60794353,0.60838896,2.53311944,7.26759911,0.03015751,-1.56709397,16.67359161,30.00000000,30.00000000,0.01502081,0.65938896,0.31119579,0.00668209,0.03653670,0.62558997,0.30207044,0.02517483,0.00761776,0.68230361,0.68234611,24.00000000,0.72482872,1.22209179,1.42087471,23.00000000,0.48022959,997.99261475,0.02259227,997.96496582,998.06121826,997.98620605,0.03218500,0.09623000,1.09659934,0.74115205,-0.00430667,0.04897931,-0.00053318,-0.42363873,0.19096658,-1.00334275,-0.18994094,0.81340176,0.00450721,0.00668240,0.15632892,0.48928466,0.94000000,0.00000000,0.60000002,1.00000000,0.05200000,9.88259220,0.01471675,0.05813343,0.02917157,0.28715655,0.27583522,997.98846436,0.00481160,-0.00135623,-0.00166887,0.00347315,0.02000000,43.89835739,17.12223434,0.08200365,0.02266457,-0.45738089,0.69268125,0.97423041,0.83006299,2.48175049,0.55496287,0.36141312,0.23197356,0.66227126,1.29770339,0.08974872,0.20387919,0.05483653,0.22275896,0.94056982,0.91198486,0.58780360,0.37727302,1.08500206,2.05606079,7.54884005,0.00104576,0.00148980,0.00001594,0
-3.71054077,2.22507739,-6.29617214,1.12110794,-5.14357185,3.11688805,4.32655525,7.41728020,0.99581677,-0.67985398,6.50612736,2.38705134,1.92040443,9.64624310,8.07683182,4.38031816,6.93020248,7.72583818,-0.76205581,-1.28364313,4.33870935,3.52686930,-4.55745888,11.90774155,2.20709729,6.91055727,5.59135103,16.46520042,0.61686707,-1.33289373,9.89166927,0.40603882,5.33956480,12.69507980,9.89279842,0.10061418,9.89999962,7.35551453,-1.62237215,37.02644730,0.00224680,5.13010550,9.71528912,9.71529198,-0.00925205,0.40187255,0.40197903,2.53311944,7.26759911,0.01722586,-2.32919335,40.35540771,58.00000000,56.00000000,0.00977092,0.70180863,0.26661626,0.00434138,0.05157141,0.65388048,0.25562227,0.02879036,0.00405369,0.44822925,0.44824758,51.00000000,0.34952456,0.85394418,0.92270696,37.00000000,0.48579627,997.97607422,0.02072440,997.94744873,998.06121826,997.96887207,0.01714250,0.11375000,1.77121902,3.36896634,-0.00218674,0.03235835,-0.00160410,-0.28404588,0.17517942,-1.00334275,-0.04184310,0.96149957,0.01355923,0.01373790,0.11211524,0.48928466,0.97500002,0.00000000,1.00000000,1.00000000,-0.02825619,9.89023209,0.01260686,0.06304064,0.01360890,0.16096386,0.33898744,997.97998047,0.00806373,-0.00110625,-0.00099123,0.00242719,0.12500000,71.82624817,12.67912865,-0.01404162,0.17013682,-1.16051555,0.74448943,1.04288065,1.37878966,2.48175049,0.94042480,0.40095124,0.73575884,1.02233100,1.29770339,-0.09043147,0.20147139,0.39476359,0.22083607,0.94056982,1.58849204,0.68679196,1.35094702,1.73060393,2.05606079,7.54807568,0.00095930,0.00079350,0.00001127,0
-5.22505331,0.07980768,-5.51366043,-4.54931116,-5.23503065,0.08942262,5.22566271,0.96434915,1.26169109,6.67498875,8.12141323,0.06007878,7.99829149,8.50994015,8.11047268,0.07281277,8.12163544,0.51164895,1.41432285,3.84003091,2.14235902,0.09171072,1.75814831,2.38856864,2.15354013,0.11114083,2.14432120,0.63042045,-0.79005182,1.18920720,9.89263058,0.04988055,9.45453548,10.28983402,9.89222717,0.04922158,9.89275646,0.83529824,-0.00423206,11.22964573,-0.00032555,1.59573293,2.45955610,2.45956135,0.00920529,0.05800807,0.05873392,0.58205771,0.83036524,-0.01910459,2.24293542,15.86276913,69.00000000,64.00000000,0.00081175,0.27085808,0.49287927,0.05580034,0.00458530,0.25012124,0.39159372,0.19221735,-0.00032559,0.04800194,0.04800304,64.00000000,0.05719673,0.04087664,0.07030196,66.00000000,0.68281227,997.96905518,0.00530263,997.94873047,997.97747803,997.96978760,0.00757083,0.02880000,-0.50102413,0.96281719,0.00117535,0.00585436,0.00047264,-0.22451328,0.04482310,-0.29585668,-0.05240951,0.24344715,-0.00399526,-0.00513901,0.02077851,0.06424647,1.00000000,0.00000000,0.00000000,0.00000000,0.00011094,9.89338303,0.00424640,0.05187799,-0.00211752,0.01661857,0.00114900,997.97247314,0.00212444,-0.00012969,-0.00015299,0.00076060,0.55000001,333.67367554,54.54846954,-0.02788946,-0.06279863,-1.66725683,0.02670288,0.02991995,1.66747069,0.32266194,1.21174312,0.01009139,0.01223031,1.21178520,0.08594130,-0.21589737,0.00523895,0.00634889,0.21596092,0.03601259,2.07247424,0.01926985,0.01993131,2.07256389,0.29080820,7.54774952,0.00024545,0.00035044,0.00000022,0
-5.21367884,0.05382486,-5.51366043,-5.02396584,-5.21122456,0.06261303,5.21395683,0.48969492,-0.61225063,3.04400039,8.13233662,0.03521070,8.00598526,8.23806572,8.13283825,0.04833699,8.13241291,0.23208068,-0.12303083,0.04622946,2.13076210,0.06692635,1.90961301,2.38856864,2.12968278,0.07987198,2.13181305,0.47895566,0.13358022,1.02807200,9.89266300,0.03657893,9.76280403,10.08151722,9.88975525,0.04164847,9.89273071,0.31871286,0.43403369,2.37607503,-0.00110584,1.28726029,1.80466008,1.80467200,0.00730267,0.03941590,0.04008669,0.19027381,0.32321984,-0.01426746,0.68495423,2.81415319,34.00000000,29.00000000,0.00264323,0.14667788,0.66567224,0.04985615,0.02135943,0.11839119,0.57182235,0.17104404,0.00013480,0.03512552,0.03512578,30.00000000,0.05284684,0.03760053,0.06485821,28.00000000,0.54157794,997.97369385,0.00270484,997.96997070,997.97747803,997.97290039,0.00464083,0.00750000,0.19007580,-1.30126381,-0.00025200,0.00308871,-0.00068724,-0.26381156,0.02286390,-0.29585668,-0.23245952,0.06339715,0.00580922,0.00008235,0.01386833,0.03263535,1.00000000,0.00000000,0.00000000,0.00000000,-0.00009154,9.89242840,0.00040197,0.00207860,-0.00051417,0.00170358,0.00095504,997.97296143,0.00104175,0.00035809,0.00040649,0.00014540,1.00000000,55.49194717,5.54280663,-0.02007925,0.04172555,-1.66345108,0.01800928,0.02094972,1.66354859,0.16384719,1.21357799,0.00591432,0.00811913,1.21359241,0.03898242,-0.21655983,0.00382315,0.00456266,0.21659358,0.02736020,2.07048726,0.01400304,0.01541573,2.07053447,0.13106741,7.54796505,0.00012520,0.00021482,0.00000042,0
-1.97181928,2.95264959,-13.03290749,9.63214779,-0.61794639,3.24107242,3.55052257,22.66505432,-1.55180192,2.18479919,-0.41312417,4.22886133,-8.12593651,9.43505383,-3.22098565,5.98733854,4.24899292,17.56099129,0.90449023,-0.64416677,-4.28830576,7.08697128,-15.61002064,18.81807899,-9.10229683,13.24749947,8.28340054,34.42810059,1.00219774,-0.53213209,9.89578438,1.16117632,1.34665644,19.27511024,9.80316162,0.13780618,9.96367836,17.92845535,0.55181456,17.38162231,-0.20679921,12.03960419,29.31212234,29.31212234,-0.00405801,1.13679934,1.13680661,8.63301277,17.14679337,-0.01657655,0.33057058,17.21823311,88.00000000,87.00000000,0.03070132,0.79050726,0.13107592,0.00983605,0.09473668,0.71250176,0.10668918,0.06559454,0.01518832,1.66588843,1.66595769,55.00000000,0.81722188,1.50281310,1.71064281,89.00000000,0.97387815,998.13659668,0.36204115,997.49371338,999.21917725,997.99908447,0.29378501,1.72546673,1.19478786,1.06307912,-0.01446007,0.60857040,0.00117652,-1.64008808,3.05937624,-10.78629303,3.79447269,14.58076477,-0.00991172,0.10140053,2.04646325,5.56614113,0.40833333,0.25000000,2.59999990,3.00000000,-0.15569681,9.89503670,0.08826963,0.26182294,-0.18375991,1.31029785,2.57369900,998.10290527,0.01374671,-0.00048139,0.00167345,0.00955710,0.65833336,25.74831772,7.52086449,-0.00059827,-0.52135873,-0.57875609,0.98792809,1.08443153,1.14497185,7.58350897,-0.22179680,0.71031874,1.00568891,0.74414146,2.94970679,-0.58324724,0.40484118,0.75675958,0.70998150,1.96669531,1.37413490,0.69320571,0.49397495,1.53908443,4.05789566,7.55550432,0.01675836,0.01359888,0.01148971,0
