ax_mean,ax_std,ax_min,ax_max,ax_median,ax_iqr,ax_rms,ax_range,ax_skew,ax_kurt,ay_mean,ay_std,ay_min,ay_max,ay_median,ay_iqr,ay_rms,ay_range,ay_skew,ay_kurt,az_mean,az_std,az_min,az_max,az_median,az_iqr,az_rms,az_range,az_skew,az_kurt,amag_mean,amag_std,amag_min,amag_max,amag_median,amag_iqr,amag_rms,amag_range,amag_skew,amag_kurt,amag_halfdiff,jerk_mean,jerk_std,jerk_rms,dyn_mean,dyn_std,dyn_rms,dyn_max,dyn_range,dyn_halfdiff,dyn_skew,dyn_kurt,amag_peakcount,dyn_peakcount,pow_0.0_0.5,pow_0.5_3.0,pow_3.0_10.0,dyn_pow_0.0_0.3,dyn_pow_0.3_1.0,dyn_pow_1.0_3.0,dyn_pow_3.0_8.0,dyn_pow_8.0_15.0,avert_mean,avert_std,avert_rms,avert_peakcount,ahoriz_mean,ahoriz_std,ahoriz_rms,ahoriz_peakcount,avert_to_ahoriz_ratio,p_mean,p_std,p_min,p_max,p_median,p_iqr,p_range,p_skew,p_kurt,dpdt_mean,dpdt_std,p_slope,h_mean,h_std,h_min,h_max,h_range,h_slope,dhdt_mean,dhdt_std,dhdt_maxabs,plateau_frac,dhdt_zcr_ps,runlen_climb_s,runlen_descent_s,amag_thirddiff,amag_ma10_mean,amag_ma10_std,amag_ma10_range,amag_ma10_thirddiff,amag_var10_mean,amag_var10_iqr,p_ma30_mean,p_ma30_std,p_ma30_slope,p_ma30_dt1_mean,p_ma30_dt1_std,p_ma30_dt1_posfrac,amag_ratio_0.5_3__0_0.5,dyn_ratio_1_3__0.3_1,dyn_thirddiff,h_thirddiff,ax_r_mean,ax_r_std,ax_r_iqr,ax_r_rms,ax_r_range,ay_r_mean,ay_r_std,ay_r_iqr,ay_r_rms,ay_r_range,az_r_mean,az_r_std,az_r_iqr,az_r_rms,az_r_range,amag_r_mean,amag_r_std,amag_r_iqr,amag_r_rms,amag_r_range,p_r_mean,p_r_std,p_r_iqr,expected,y_true
-2.37050080,0.02391868,-2.48338795,-2.24935389,-2.37140656,0.02735901,2.37062144,0.23403400,0.23721676,2.57292891,9.11924744,0.02541320,9.00329304,9.24760151,9.11836815,0.03394208,9.11928272,0.24430856,-0.01029854,1.02104449,-2.77164555,0.03877233,-3.07734752,-2.63960886,-2.77049017,0.03359364,2.77191663,0.43773881,-2.28976870,13.26230049,9.82160759,0.02693476,9.72133827,9.93599796,9.82086468,0.03567726,9.82164383,0.21465956,0.06107847,0.53274632,-0.00056054,1.41697943,2.00296974,2.00296974,0.00039086,0.02664465,0.02664751,0.11079323,0.20930712,-0.00053067,0.05181916,0.51434034,55.00000000,56.00000000,0.00465174,0.40998018,0.12175237,0.00157465,0.01368112,0.39557779,0.09764072,0.11038680,0.00011389,0.02542384,0.02542410,58.00000000,0.02685310,0.02343564,0.03564152,60.00000000,0.71332800,1010.52392578,0.01637812,1010.49237061,1010.56524658,1010.52349854,0.02271033,0.07281783,0.11557897,-0.46287206,-0.00112803,0.06000298,-0.00080859,-0.02714528,0.13672324,-0.37206078,0.23581487,0.60787565,0.00675005,-0.00162744,0.11705047,0.30400100,0.99000001,0.20000000,0.40000001,0.60000002,0.00011791,9.82175255,0.00062019,0.00299731,-0.00004230,0.00074287,0.00025016,1010.52545166,0.00227228,0.00029505,0.00012409,0.00082156,0.50999999,88.13471222,28.91412735,-0.00066508,0.08408731,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23881415,0.00010002,0.00013869,0.00014126,0
-2.36984801,0.02226209,-2.50193620,-2.27059865,-2.37025976,0.02277033,2.36995268,0.23133765,-0.21149249,5.13723373,9.11902809,0.02959370,8.91751575,9.28879166,9.11861706,0.02581204,9.11907578,0.37127596,-0.21598235,9.41487503,-2.77292085,0.01702401,-2.85388589,-2.70584822,-2.77368188,0.01823105,2.77297306,0.14803781,-0.04231022,2.25763464,9.82154179,0.03040630,9.64043903,9.99085999,9.82167816,0.02723022,9.82158852,0.35042098,-0.19074158,7.80704212,0.00030366,1.69178772,3.01338863,3.01338935,-0.00176855,0.03040869,0.03046007,0.15968482,0.34733656,0.00332810,-0.38851386,7.62620735,31.00000000,29.00000000,0.00299141,0.10156362,0.09281008,0.00621726,0.00636183,0.09496167,0.07347591,0.10662153,-0.00021134,0.02921904,0.02921980,28.00000000,0.02016908,0.01651913,0.02607054,30.00000000,1.12079763,1010.51312256,0.01688555,1010.47589111,1010.54571533,1010.51110840,0.02728068,0.06981125,0.17268902,-0.76623368,0.00518163,0.06356379,0.00157245,0.06283189,0.14096044,-0.20918359,0.37360185,0.58278543,-0.01312681,0.00027072,0.11606342,0.30491400,0.98000002,0.40000001,0.20000000,0.60000002,0.00186676,9.82179165,0.00036040,0.00161027,0.00054864,0.00084520,0.00020059,1010.51257324,0.00276153,-0.00093723,-0.00092226,0.00064791,0.10000000,33.95180511,14.92679310,0.00633336,-0.07938759,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23874831,0.00010312,0.00016661,0.00053490,0
-2.36944151,0.02855030,-2.55602431,-2.15709186,-2.36926150,0.02404173,2.36961341,0.39893258,0.26654032,12.79876137,9.11961555,0.03918309,8.78778744,9.50046062,9.11926556,0.03012649,9.11970043,0.71267319,0.49658599,28.58075905,-2.77458692,0.02125305,-2.90806365,-2.64887500,-2.77428198,0.02027766,2.77466822,0.25918877,-0.09684132,6.83051872,9.82248211,0.04032727,9.45334625,10.18191147,9.82158470,0.03259658,9.82256508,0.72856492,0.46871382,27.30957794,-0.00037771,1.75329781,4.10622501,4.10622549,-0.00111515,0.04007509,0.04009060,0.35506046,0.72152358,0.00179741,0.48955595,27.05934906,43.00000000,43.00000000,0.00367856,0.45915648,0.06782911,0.00363387,0.00583456,0.45028895,0.04812101,0.10062797,0.00000322,0.03877418,0.03877418,43.00000000,0.02301555,0.02374404,0.03306803,66.00000000,1.17255783,1010.48126221,0.01784944,1010.44464111,1010.52380371,1010.48211670,0.02498493,0.07919101,-0.13330138,-0.57706302,0.00002792,0.05749092,0.00067444,0.32872832,0.14901106,-0.02660352,0.63449830,0.66110182,-0.00563033,-0.00280789,0.11823470,0.29645887,1.00000000,0.29166666,0.20000000,0.40000001,-0.00036455,9.82234001,0.00042646,0.00220492,-0.00030240,0.00144126,0.00234156,1010.48229980,0.00124367,-0.00000939,0.00012936,0.00080346,0.58333331,124.81961823,77.17617035,0.00347554,-0.09660178,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23855381,0.00010901,0.00015259,0.00005489,0
-2.36953640,0.02667941,-2.53634667,-2.15709186,-2.36956191,0.02438862,2.36968660,0.37925485,0.30319974,12.09737587,9.11922741,0.04218155,8.78778744,9.50046062,9.11861706,0.03177527,9.11932468,0.71267319,0.50196183,25.20263290,-2.77451277,0.02116341,-2.89260316,-2.65667367,-2.77427888,0.02057513,2.77459359,0.23592947,-0.13598484,5.98296022,9.82211876,0.04306995,9.45334625,10.18191147,9.82109070,0.03559246,9.82221317,0.72856492,0.48836109,24.87206268,-0.00050921,1.86657655,4.42060947,4.42060947,-0.00087137,0.04273239,0.04274127,0.35506046,0.72152358,0.00154459,0.46755737,24.79352188,40.00000000,40.00000000,0.00251632,0.28094730,0.04225454,0.00142728,0.00307271,0.27630696,0.03372943,0.03404672,-0.00005700,0.04140361,0.04140365,36.00000000,0.02274324,0.02213793,0.03173867,57.00000000,1.30451763,1010.48278809,0.01760238,1010.44531250,1010.52380371,1010.48284912,0.02600746,0.07852326,-0.11293020,-0.60486937,0.00143603,0.06188448,0.00032794,0.31600422,0.14694834,-0.02660352,0.62892365,0.65552717,-0.00273774,-0.00772061,0.12446822,0.29645887,1.00000000,0.34999999,0.20000000,0.40000001,-0.00027650,9.82220840,0.00044520,0.00239924,-0.00045064,0.00183306,0.00223000,1010.48236084,0.00127029,0.00007077,-0.00002308,0.00080298,0.50999999,111.65016937,89.92276001,0.00204330,-0.01737713,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23856311,0.00010750,0.00015883,0.00008549,0
-2.36911559,0.02350499,-2.55221796,-2.14909649,-2.36926103,0.02341917,2.36923218,0.40312147,0.48910296,17.57557487,9.11790752,0.02429579,8.95402336,9.36534309,9.11781693,0.02394090,9.11793995,0.41131952,1.10480332,18.74443817,-2.77495599,0.01984113,-2.96640873,-2.58154726,-2.77487946,0.01825296,2.77502680,0.38486141,0.03367107,18.44751930,9.82090664,0.02565425,9.66313553,10.03029156,9.82088757,0.02573079,9.82094002,0.36715677,0.66219544,13.18709946,0.00002086,1.25616992,2.30234694,2.30234742,0.00076026,0.02543121,0.02544257,0.20637211,0.36589187,-0.00156388,0.53890246,13.01622391,47.00000000,45.00000000,0.00378283,0.23921712,0.07819644,0.00293685,0.00266894,0.23454747,0.04642070,0.14093353,-0.00001293,0.02454703,0.02454703,41.00000000,0.02045661,0.01991522,0.02854976,43.00000000,0.85979795,1010.47198486,0.01835760,1010.41461182,1010.51446533,1010.47131348,0.02287077,0.09984659,-0.08128527,0.39505839,-0.00084539,0.06569689,0.00014074,0.40606716,0.15325443,0.05170802,0.88525981,0.83355182,-0.00117491,0.00186416,0.12940346,0.38244513,0.97500002,0.45833334,0.40000001,0.60000002,0.00131225,9.82094574,0.00033985,0.00181375,0.00025243,0.00066272,0.00024739,1010.47375488,0.00187778,-0.00025296,-0.00030624,0.00075979,0.29166666,63.23756790,87.88030243,-0.00103774,-0.03311400,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23849723,0.00011211,0.00013967,0.00015195,0
-2.36526084,0.04194883,-2.71593189,-1.90036774,-2.36527109,0.03224433,2.36563277,0.81556422,0.76392138,27.61890602,9.12112808,0.05483833,8.66008282,9.59290981,9.12225914,0.04830778,9.12129307,0.93282735,-0.66098839,18.77049446,-2.76463628,0.03472156,-3.07970262,-2.36303830,-2.76470447,0.02653421,2.76485419,0.71666425,0.93178570,28.13217163,9.82015133,0.05711678,9.29078770,10.28891945,9.82119274,0.05382298,9.82031727,0.99813116,-0.75612575,19.56311035,0.00130746,2.56494379,5.33463573,5.33463669,-0.00126952,0.05672796,0.05674216,0.45728263,0.98190629,0.00395017,-0.72638172,19.04272079,46.00000000,46.00000000,0.00233172,0.26272684,0.10786895,0.00175433,0.00282644,0.25806835,0.07614538,0.08633832,-0.00018184,0.05479804,0.05479835,46.00000000,0.03154576,0.03896558,0.05013433,42.00000000,1.09303033,1010.46691895,0.02006951,1010.41156006,1010.51672363,1010.46734619,0.02954531,0.10517516,0.05688712,-0.26107755,0.00182485,0.07334721,0.00035668,0.44836438,0.16754638,0.03250833,0.91054499,0.87803668,-0.00297771,-0.00930663,0.14795677,0.34184572,0.97000003,0.15000001,0.60000002,0.80000001,-0.00023486,9.82038498,0.00060090,0.00316541,-0.00007090,0.00339044,0.00086708,1010.46453857,0.00378984,0.00063071,0.00080286,0.00094817,0.76999998,112.67533112,91.30519867,0.00319426,-0.03894538,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23846628,0.00012257,0.00018044,0.00016262,0
-2.36546564,0.01760889,-2.46183944,-2.29004288,-2.36487436,0.02162145,2.36553121,0.17179656,-0.42000404,2.54150558,9.12329102,0.01756067,9.06953144,9.17308903,9.12290668,0.02241771,9.12330723,0.10355777,-0.10027811,0.11442194,-2.76667404,0.01299676,-2.83553958,-2.70305729,-2.76674938,0.01705966,2.76670456,0.13248219,-0.08093958,1.80590987,9.82266617,0.01896646,9.76093483,9.89242363,9.82286835,0.02325325,9.82268429,0.13148938,0.03824013,0.40059346,0.00028191,1.11563981,1.51439226,1.51439512,0.00080058,0.01880437,0.01882140,0.07042243,0.13048001,-0.00061475,0.05931843,0.47730204,32.00000000,34.00000000,0.00447146,0.22236988,0.11852328,0.00359600,0.01205980,0.20918855,0.07618781,0.13372453,0.00021249,0.01796384,0.01796510,32.00000000,0.01639771,0.01037641,0.01940502,18.00000000,0.92579627,1010.49798584,0.02057776,1010.45019531,1010.54071045,1010.50036621,0.02096730,0.09047151,-0.14866351,-0.00525778,0.00557771,0.06985499,0.00344904,0.18938635,0.17178541,-0.16737366,0.58789313,0.75526679,-0.02879309,-0.01688218,0.13159138,0.33321491,0.98000002,0.40000001,0.40000001,0.40000001,-0.00180673,9.82235336,0.00025237,0.00126252,-0.00030973,0.00063517,0.00078705,1010.49890137,0.00467724,0.00160891,0.00155452,0.00082985,0.98000002,49.73096085,17.34593201,-0.00257813,-0.20770098,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23865573,0.00012567,0.00012805,0.00041960,0
-2.36207223,0.02496425,-2.50942111,-2.13862205,-2.36247849,0.02653677,2.36220407,0.37079924,0.44550988,10.02164459,9.13908863,0.02400717,8.99113750,9.28293610,9.13896656,0.02683358,9.13912010,0.29179877,-0.08665062,3.97822070,-2.71453714,0.02636911,-2.84031892,-2.53945351,-2.71687031,0.03055091,2.71466517,0.30086529,0.65243024,2.80701113,9.82203007,0.02547257,9.70301723,9.94517994,9.82242870,0.02807813,9.82206345,0.24216241,-0.08307666,2.31864476,-0.00011591,1.29551768,1.92795396,1.92795408,0.00024903,0.02519020,0.02519143,0.12051191,0.23590316,-0.00143162,-0.02833801,2.24081516,73.00000000,74.00000000,0.00457687,0.20553407,0.17613591,0.00139785,0.01929238,0.18574455,0.13709256,0.14872682,-0.00016226,0.02406003,0.02406057,72.00000000,0.02441395,0.01930326,0.03112325,53.00000000,0.77307391,1010.30938721,0.02930754,1010.23376465,1010.36175537,1010.31481934,0.03630323,0.12798290,-0.48863187,-0.35145748,-0.00198594,0.06566373,-0.00140099,1.76353145,0.24470069,1.32666767,2.39525342,1.06858575,0.01169746,0.00348621,0.15912269,0.41705361,0.95833331,0.29166666,1.00000000,1.60000002,0.00033002,9.82246113,0.00054859,0.00286716,-0.00006818,0.00115778,0.00042540,1010.31274414,0.01610380,-0.00199019,-0.00269589,0.00309523,0.15000001,44.90710068,9.62787056,-0.00182273,0.24024616,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23750426,0.00017898,0.00022171,0.00023506,0
-2.35961676,0.02849418,-2.50942111,-2.13862205,-2.35963559,0.02891137,2.35978889,0.37079924,0.61413443,11.39240646,9.14432812,0.02662062,9.03521347,9.27524853,9.14435387,0.03522964,9.14436722,0.24003486,-0.00487422,1.06334293,-2.70176148,0.02666122,-2.81636906,-2.58175063,-2.70115590,0.03032574,2.70189309,0.23461853,-0.28807411,1.83180976,9.82279968,0.02967817,9.70301723,9.94517994,9.82332706,0.03977903,9.82284451,0.24216241,0.11249720,0.75717032,-0.00209791,1.33914459,1.94561183,1.94561183,0.00003804,0.02930346,0.02930349,0.12007051,0.23546970,-0.00096506,0.12863594,0.76468867,19.00000000,21.00000000,0.00073665,0.68051958,0.06172518,0.00025219,0.01321165,0.66448939,0.04255353,0.06934563,0.00032950,0.02769825,0.02770021,23.00000000,0.02625407,0.02125669,0.03378051,21.00000000,0.82000560,1010.29492188,0.02916450,1010.23376465,1010.34387207,1010.30035400,0.04597031,0.11012457,-0.37069836,-0.80689895,0.00950642,0.05928470,0.00650343,1.88432050,0.24350888,1.47576821,2.39525342,0.91948515,-0.05430061,-0.02278284,0.15613972,0.32456791,0.95999998,0.20000000,0.20000000,1.60000002,-0.00158159,9.82257938,0.00028800,0.00147545,0.00006128,0.00075916,0.00016043,1010.30023193,0.00310372,-0.00102023,-0.00122490,0.00093508,0.08000000,923.80426025,50.29571533,-0.00047642,-0.42296517,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23741589,0.00017811,0.00028075,0.00039556,0
-2.35255027,0.02111959,-2.47828341,-2.24018312,-2.35310221,0.02334314,2.35264492,0.23810025,0.00560367,4.10450459,9.15908623,0.02108751,9.04082584,9.26953411,9.15871811,0.02454072,9.15911102,0.22870807,0.10206638,2.53458261,-2.65761709,0.02134012,-2.74317265,-2.56568480,-2.65796375,0.02436764,2.65770268,0.17748775,0.05976136,1.64840531,9.82278538,0.02278548,9.68269634,9.93834305,9.82292080,0.02550653,9.82281208,0.25564694,-0.05581514,3.04530811,-0.00151555,1.13302052,1.70316041,1.70316112,-0.00049132,0.02254093,0.02254628,0.11460444,0.25440082,0.00135512,-0.04577422,3.04383993,77.00000000,73.00000000,0.00679793,0.09381340,0.15266326,0.00167295,0.00642213,0.08805522,0.09147744,0.15100525,0.00025442,0.02152130,0.02152280,72.00000000,0.01986865,0.01494558,0.02486229,67.00000000,0.86568069,1010.27331543,0.03694303,1010.15625000,1010.34106445,1010.27722168,0.03743885,0.18479165,-1.06200397,1.28387964,-0.00647962,0.06820815,-0.00316877,2.06501293,0.30846453,1.49935448,3.04232216,1.54296768,0.02645841,0.04069153,0.15473646,0.43243176,0.94999999,0.16666667,1.39999998,0.40000001,-0.00065086,9.82250786,0.00055419,0.00266873,-0.00078793,0.00053649,0.00031859,1010.27093506,0.01489400,-0.00211346,-0.00183234,0.00162726,0.10833333,13.80029488,13.71122551,0.00253522,0.31895852,-0.00733342,0.07794915,0.08248960,0.56771225,0.55367237,0.09037393,0.05313211,0.05867972,0.56217051,0.36855748,0.04742906,0.05119089,0.05499998,0.30059302,0.39164218,1.10333979,0.09124428,0.09669661,1.12559640,0.63358784,0.23728374,0.00022561,0.00022864,0.00016732,0
